vendor,product_name,current_price,old_price,month
Metro,"BBQ Sauce Made With Coffee, Crank It Up",4.99,5.49,10
Metro,"Cappucino Coffee T-Discs, Tassimo",8.99,11.99,6
Metro,"Cappucino Coffee T-Discs, Tassimo",9.99,11.99,7
Metro,"Cappucino Coffee T-Discs, Tassimo",8.49,11.99,9
Metro,"Cappucino Coffee T-Discs, Tassimo",9.49,11.99,9
Metro,"Cappucino Coffee T-Discs, Tassimo",9.49,11.99,10
Metro,"Cappucino Coffee T-Discs, Tassimo",9.99,11.99,10
Metro,"Dark Roast K-Cup Coffee Pods, Black Silk",20.99,22.99,8
Metro,"Dark Roast K-Cup Coffee Pods, Black Silk",16.99,22.99,8
Metro,"Dark Roast K-Cup Coffee Pods, Black Silk",16.99,22.99,9
Metro,"Dark Roast K-Cup Coffee Pods, Black Silk",21.99,23.99,10
Metro,Decaf Coffee Compostable Pods,5.99,9.99,6
Metro,Decaf Coffee Compostable Pods,5.99,9.99,7
Metro,Decaf Coffee Compostable Pods,5.99,9.99,8
Metro,Decaf Coffee Compostable Pods,8.99,9.99,8
Metro,Decaf Coffee Compostable Pods,8.99,9.99,9
Metro,Decaf Coffee Compostable Pods,5.99,9.99,9
Metro,Decaf Coffee Compostable Pods,8.49,9.99,9
Metro,Decaf Coffee Compostable Pods,8.49,9.99,10
Metro,"Medium Roast K-Cup Coffee Pods, House Blend",19.99,21.99,6
Metro,"Medium Roast K-Cup Coffee Pods, House Blend",19.99,21.99,7
Metro,"Medium Roast K-Cup Coffee Pods, House Blend",20.99,21.99,8
Metro,"Medium Roast K-Cup Coffee Pods, House Blend",19.99,21.99,8
Metro,"Medium Roast K-Cup Coffee Pods, House Blend",19.99,21.99,9
Metro,"Medium Roast K-Cup Coffee Pods, House Blend",19.99,21.99,10
Metro,"Medium Roast Coffee Beans, Original Blend",9.99,10.99,6
Metro,"Medium Roast Coffee Beans, Original Blend",9.99,10.99,7
Metro,"Medium Roast Decaffeinated K-Cup Coffee Pods, Pike P...",22.99,26.99,6
Metro,"Medium Roast Decaffeinated K-Cup Coffee Pods, Pike P...",16.99,26.99,6
Metro,"Medium Roast Decaffeinated K-Cup Coffee Pods, Pike P...",16.99,26.99,7
Metro,"Medium Roast Decaffeinated K-Cup Coffee Pods, Pike P...",22.99,25.99,7
Metro,"Medium Roast Decaffeinated K-Cup Coffee Pods, Pike P...",16.99,25.99,8
